Title,Address,Link
Acadia University Archives and Special Collections,"KIRKCONNELL READING ROOM VAUGHAN MEMORIAL LIBRARYWOLFVILLE, Nova Scotia B4P 2R6 Canada",https://library.acadiau.ca/archives.html
Acadia University Art Gallery,"10 Highland Avenue, Wolfville, Nova Scotia, B4P 2R6, CanadaWOLFVILLE, Nova Scotia B4P 2R6 Canada",http://gallery.acadiau.ca/Acadia_Art_Gallery/Welcome.html
Acadian House Museum,"79 HILL ROADWEST CHEZZETCOOK, Nova Scotia B0J 1N0 Canada",https://www.acadiedechezzetcook.ca/
Acadian Museum of Prince Edward Island,"23 MAIN DRIVEMISCOUCHE, Prince Edward Island C0B 1T0 Canada",https://www.museeacadien.org/
Aceartinc.,"208 PRINCESS STREETWINNIPEG, Manitoba R3B 1L4 Canada",https://www.aceart.org/
Adelaide Hunter Hoodless Homestead,"359 BLUE LAKE ROADST GEORGE, Ontario N0E 1N0 Canada",http://www.adelaidehoodless.ca/
Admiral Digby Museum,"95 MONTAGUE ROWDIGBY, Nova Scotia B0V 1A0 Canada",http://admiraldigbymuseum.ca/
Admiralty House Communications Museum,"365 OLD PLACENTIA ROADMOUNT PEARL, Newfoundland & Labrador A1N 0G7 Canada",https://www.admiraltymuseum.com/
Aerospace Heritage Foundation of Canada,"ETOBICOKE, Ontario M9A 4X2 Canada",https://www.ahfc.org/
Africville Heritage Trust Society (Africville Museum),"5795 AFRICVILLE ROADHALIFAX, Nova Scotia B3K 2R9 Canada",https://africvillemuseum.org/
Aga Khan Museum,"77 WYNFORD DRIVETORONTO, Ontario M3C 1K1 Canada",https://www.agakhanmuseum.org/
Agassiz Harrison Historical Society Museum,"7011 PIONEER STREETAGASSIZ, British Columbia V0M 1A0 Canada",http://agassizharrisonmuseum.org/
Age of Sail Heritage Museum (Greville Bay Shipbuilding Museum Society),"8334 HIGHWAY 209PORT GREVILLE, Nova Scotia B0M 1T0 Canada",https://ageofsailmuseum.ca/
Agnes Etherington Art Centre,"QUEEN'S UNIVERSITY, 36 UNIVERSITY AVENUEKINGSTON, Ontario K7L 3N6 Canada",https://agnes.queensu.ca/
Agnes Jamieson Gallery,"176 BOBCAYGEON ROADMINDEN, Ontario K0M 2K0 Canada",https://mindenhills.ca/agnes-jamieson-art-gallery/
Agricultural Museum of New Brunswick,"28 PERRY STREETSUSSEX, New Brunswick E4E 2N7 Canada",https://www.agriculturalmuseumnb.com/
AHVA Library Gallery,"6398 UNIVERSITY BOULEVARD, ROOM 1001VANCOUVER, British Columbia V6T 1Z4 Canada",https://ahva.ubc.ca/ahva-gallery-home/
Air Defense Museum,"6513, CHEMIN SAINT-ANICETLA BAIE, Quebec G7B 3N8 Canada",https://museebagotville.ca/fr/accueil
Air Force Heritage Museum and Air Park,"186 AIR FORCE WAYWINNIPEG, Manitoba R3J 3Y5 Canada",https://www.travelmanitoba.com/listings/air-force-heritage-museum-and-air-park/3825/
Aireum Canadian Broadcast Museum,"SUITE LL-1, 1000 YONGE STREETTORONTO, Ontario M4W 2K2 Canada",http://www.aireum.ca/
AKA Artist-Run,"424 20TH STREET WESTSASKATOON, Saskatchewan S7M 0X4 Canada",http://akaartistrun.com/
Al Mazur Memorial Heritage Park,"JUNCTION OF HIGHWAY 3 & 9HUDSON BAY, Saskatchewan S0E 0Y0 Canada",http://www.townofhudsonbay.com/default.aspx?page=80
Alberni Valley Museum,"4255 WALLACE STREETPORT ALBERNI, British Columbia V9Y 3Y6 Canada",https://www.portalberni.ca/alberni-valley-museum-0
Albert County Museum,"3940 ROUTE 114HOPEWELL CAPE, New Brunswick E4H 3J8 Canada",https://www.albertcountymuseum.com/
Alberta Aviation Museum Association,"11410 KINGSWAY NWEDMONTON, Alberta T5G 0X4 Canada",https://www.albertaaviationmuseum.com/
Alberta Beach & District Museum and Archives,"5000 47 AVENUEALBERTA BEACH, Alberta T0E 0A0 Canada",http://albertabeachmuseum.ca/
Alberta Central Railway Museum,"RANGE ROAD 234WETASKIWIN COUNTY, Alberta T9A 1W9 Canada",https://abcentralrailway.com/
Alberta Forest Service Museum,"1176 SWITZER DRIVEHINTON, Alberta T7V 1V3 Canada",https://www.hinton.ca/241/Attractions-Activities
Alberta Museums Association,"SUITE 120, 12420.104 AVENUE NWEDMONTON, Alberta T5N 3Z9 Canada",https://www.museums.ab.ca/
Alberta Railway Museum,"24215 - 34 STREETEDMONTON, Alberta T5Y 6B4 Canada",https://albertarailwaymuseum.com/
Alberta Sports Hall of Fame and Museum,"# 102 - 4200 HIGHWAY 2, Red Deer, AlbertaT4N 1E3, CanadaRED DEER, Alberta T4N 1E3 Canada",https://www.albertasportshall.ca/
Alberta University of the Arts,"1407 14 AVENUE NWCALGARY, Alberta T2N 4R3 Canada",https://www.auarts.ca/
Alberton Museum & Genealogy Center,"457 CHURCH STREETALBERTON, Prince Edward Island C0B 1B0 Canada",https://www.tourismpei.com/search/OperatorDetails/name/AlbertonMuseumGenealogyCentre/op_id/4942/
Alert Bay Library-Museum,"116 FIR STREETALERT BAY, British Columbia V0N 1A0 Canada",https://alertbay.bc.libraries.coop/
